id,emotion1,emotion2,emotion3,emotion4,emotion5,emotion6
31,0.0013934064,0.4927886947,0.001100543,0.5030808956,0.0009305438,0.0007059191
32,0.0272151941,0.0433569094,0.3124830138,0.1257976177,0.0144711826,0.4766760984
33,0.0087818191,0.0416616071,0.0025288252,0.7010931224,0.2420055009,0.0039291164
34,0.014215408,0.0130518951,0.0020329379,0.9629434943,0.0069652216,0.0007909614
35,0.157689738,0.3481035639,0.0018256212,0.4900625871,0.0015265621,0.000791949
36,0.0124094766,0.0012220388,0.0004209306,0.5236411132,0.4618095289,0.0004969006
37,0.0029109847,0.0018121882,0.0006679411,0.5381915271,0.4555664126,0.0008509313
38,0.0162304665,0.151766259,0.0032543839,0.8235649069,0.0031953654,0.0019886157
39,0.0364024173,0.0192285883,0.0019979713,0.9363972247,0.005076913,0.000896917
40,0.0023678014,0.0008152391,0.0005273142,0.9947814941,0.0012284224,0.0002797242
41,0.0179057112,0.2641966967,0.011385723,0.6807530522,0.0231557949,0.0026029833
42,0.0045739761,0.0012707914,0.0004534551,0.9919033349,0.0015383355,0.0002601715
43,0.5016317046,0.4782044936,0.002002591,0.0102563845,0.0068640327,0.0010408002
44,0.0034510209,0.0023948583,0.0010884043,0.9907502532,0.0020037717,0.0003116691
45,0.3693541673,0.0152193222,0.0013316455,0.6092299595,0.0040701357,0.0007948449
46,0.0094777285,0.5874621794,0.3969372858,0.004555431,0.0008655481,0.0007018794
47,0.4637756148,0.5066804308,0.0030079839,0.02438554,0.0009276395,0.0012228483
48,0.0416720719,0.0150936707,0.0048466806,0.4764475711,0.365311739,0.0966282509
49,0.0091660976,0.0751521117,0.001125007,0.037326714,0.7751855254,0.1020444995
50,0.1142267613,0.3179885259,0.056932447,0.5040845027,0.0047516216,0.0020161246
51,0.437116161,0.1566456192,0.003682033,0.3933048695,0.0076705292,0.0015808178
52,0.4857657906,0.0232086955,0.0021725424,0.4782122765,0.0098108831,0.0008297921
53,0.0114554435,0.5390977636,0.4395016156,0.0059732925,0.0025373348,0.0014345854
54,0.0342092894,0.4050673144,0.0045479996,0.52123611,0.0326035303,0.0023357215
55,0.4578381921,0.0073211259,0.0010070588,0.5280013159,0.0052554001,0.0005768973
56,0.5158435591,0.0097394327,0.0010507568,0.4641899884,0.0087040824,0.0004721498
57,0.2032174729,0.1146487575,0.0080824962,0.6510761678,0.0198269438,0.003148216
58,0.0105469567,0.9067312479,0.0037255157,0.0640951814,0.0121202586,0.0027808704
59,0.0156783722,0.0113648693,0.0344767366,0.9341198504,0.003142648,0.0012175178
60,0.0030628685,0.4859603681,0.0020342093,0.5069470638,0.0014862624,0.0005091835
61,0.0130518627,0.3980522311,0.0036461206,0.5789363757,0.0051666024,0.001146817
62,0.0021826053,0.9826403856,0.0099270976,0.0041086393,0.0004860951,0.0006551597
63,0.0157104054,0.0116710631,0.0012257212,0.5882942605,0.3823546825,0.0007438934
64,0.0347120934,0.1849207938,0.0057438385,0.7694780529,0.003521295,0.0016238664
65,0.0249694074,0.5234104693,0.0025670953,0.4033429623,0.0417411453,0.0039688735
66,0.0032335111,0.6705999747,0.3225467302,0.0024345258,0.0007624855,0.0004227724
67,0.0203735979,0.3201840652,0.0039512429,0.5547048251,0.0994246423,0.001361598
68,0.0113429143,0.5000822423,0.001608126,0.2973435554,0.1880873865,0.0015357243
69,0.0566552356,0.0986856706,0.0037658912,0.813243866,0.0257657031,0.0018836553
70,0.0508761555,0.1026442964,0.0081684059,0.792394042,0.0433017584,0.0026153526
71,0.0299292394,0.3261280667,0.0032460894,0.6350132376,0.0047797414,0.0009036471
72,0.0312321794,0.3258190006,0.238257862,0.184185449,0.2175526537,0.0029528486
73,0.0226120811,0.7790272832,0.0066533605,0.1857613034,0.0046851757,0.001260783
74,0.004930052,0.002414207,0.0008427559,0.9903504252,0.0009966713,0.0004658473
75,0.0146398418,0.0348784815,0.0029119713,0.9375195702,0.0091368639,0.0009133067
76,0.0077238219,0.0098468739,0.001456399,0.603351751,0.3544319094,0.0231892916
77,0.0031115761,0.0016302714,0.0007024073,0.993111819,0.0009795779,0.0004643953
78,0.6985307634,0.2462686673,0.0096115496,0.0392733705,0.0053638376,0.0009517539
79,0.0196904205,0.0295794345,0.0025890447,0.9389324486,0.0080670347,0.0011416388
80,0.0178084951,0.0359164188,0.0031622367,0.9305846095,0.0115261083,0.0010021307
81,0.0174965623,0.4691148748,0.0035903367,0.5007800013,0.0074106147,0.0016076208
82,0.3594427506,0.009430342,0.0042530178,0.6244716347,0.0019157723,0.0004864879
83,0.1306165302,0.1566087976,0.0079417975,0.6878301104,0.014712212,0.00229058
84,0.7392642498,0.1637247764,0.0038459973,0.0873080397,0.0041804878,0.0016765358
85,0.0020169739,0.9669255316,0.0280987964,0.0019233802,0.0003916947,0.0006436256
86,0.4942296484,0.4991445891,0.0008082497,0.0048881471,0.0005619609,0.0003673398
87,0.0102805784,0.2818813939,0.0460998248,0.4710093439,0.0221360615,0.1685927715
88,0.008944124,0.4733557036,0.0038479373,0.5095073432,0.0039073344,0.0004375481
89,0.0244217035,0.012762004,0.000939402,0.469968214,0.0094517372,0.4824569616
90,0.0428432599,0.0315867839,0.0019936644,0.9124469161,0.0099210904,0.0012082806
91,0.0046223518,0.0063972264,0.0010191755,0.6422981024,0.3445577167,0.001105457
92,0.2151964835,0.1324621948,0.0086678496,0.5832170645,0.0570988804,0.0033575667
93,0.0134800184,0.094942119,0.0041153926,0.8742278516,0.0115994653,0.0016351366
94,0.1159896143,0.5680637658,0.0099993274,0.2987961024,0.0055027955,0.001648375
95,0.08106195,0.5444092453,0.0065912532,0.3590932786,0.0068408137,0.0020034597
96,0.0035075303,0.0066667167,0.0007946328,0.9865396619,0.0021131863,0.000378218
97,0.0158766246,0.0167472602,0.0029155316,0.956297785,0.007290644,0.0008721399
98,0.0056482879,0.3358404465,0.0010840891,0.6465544586,0.009844518,0.0010281468
99,0.4991368372,0.0286924276,0.0026507219,0.3327176552,0.1356339178,0.0011685041
100,0.9745128751,0.0106464503,0.0007188619,0.0082187876,0.0055611385,0.0003418936
101,0.1143289087,0.5327979426,0.0059990974,0.3323356658,0.012388205,0.0021502149
102,0.0286990115,0.1947770193,0.0552598094,0.6969332099,0.0220943363,0.0022366391
103,0.5037586,0.0026654982,0.0004178943,0.4885260742,0.0041034834,0.0005285035
104,0.4227421725,0.3377146584,0.001004746,0.2358931159,0.0019430759,0.0007021507
105,0.9509232342,0.0318006065,0.0010582644,0.0120864857,0.0036350494,0.0004963647
106,0.0128940508,0.1059988846,0.3226907578,0.548428248,0.0076978098,0.002290212
107,0.007909429,0.447238983,0.0032685926,0.5373229049,0.0031399461,0.0011201722
108,0.5002044271,0.4972766412,0.001154803,0.0009527599,0.0002203104,0.0001910776
109,0.012212625,0.0833404027,0.0062933837,0.8245818317,0.0706638824,0.0029078734
110,0.3977559869,0.1214760357,0.0027762904,0.4695063341,0.0071350683,0.0013502329
111,0.0090428421,0.1740193367,0.809428066,0.0045502872,0.0017778998,0.0011816169
112,0.0194314467,0.4869971871,0.0056657576,0.483738862,0.0026613853,0.0015053616
113,0.0718891745,0.0259735355,0.0023977648,0.2618338503,0.6360674351,0.0018382265
114,0.1128922155,0.1450621875,0.0036944716,0.7233991027,0.0132472077,0.0017048502
115,0.1333332523,0.2814026466,0.0159770317,0.553485021,0.0124367937,0.0033652693
116,0.4672254086,0.001887085,0.0010389299,0.5284523213,0.0010451905,0.0003510608
117,0.0156568044,0.0057501857,0.0010029968,0.9733066161,0.00383701,0.0004463734
118,0.2627415285,0.3780436367,0.0037111783,0.3420427144,0.0111102341,0.0023506708
119,0.0098165267,0.4475091025,0.0040771677,0.5322471485,0.005136468,0.0012135566
120,0.0107459032,0.0248197727,0.0048812692,0.9533824027,0.0050164884,0.0011541684
121,0.9984892905,0.0003986875,0.0002143468,0.0004065784,0.000376583,0.0001145229
122,0.4750442514,0.0077883662,0.0009427689,0.5124188475,0.0032548357,0.000550974
123,0.0077230989,0.4522069703,0.0014718952,0.5337133966,0.0038922569,0.0009923861
124,0.0014634363,0.9964327017,0.000693851,0.0007228738,0.0003313486,0.0003558095
125,0.0027535831,0.9808104634,0.004172149,0.01031783,0.001428702,0.0005172712
126,0.0135248791,0.501023028,0.0050121335,0.3336445689,0.1382003625,0.0085950073
127,0.0073222866,0.9417552948,0.0021799665,0.0464812997,0.0014962668,0.0007648907
128,0.0277876438,0.0470170894,0.0119245295,0.694782575,0.2148281787,0.0036599688
129,0.1078546774,0.4777306272,0.006331486,0.4048786964,0.0020379737,0.0011665386
130,0.0147882453,0.5241372039,0.4064445123,0.0460354441,0.0064471519,0.0021474398
131,0.0062376705,0.9321753383,0.0041233231,0.0541201343,0.0020922666,0.0012513372
132,0.2577855214,0.0155014314,0.0035032718,0.6556869149,0.0651449889,0.0023779089
133,0.0159842203,0.4373495211,0.0068331485,0.154291455,0.3624712881,0.0230704331
134,0.0018675725,0.5004928887,0.0007545927,0.4947646832,0.0018352774,0.000284947
135,0.5294684619,0.1926029378,0.0314116636,0.2414621348,0.0038381211,0.0012166931
136,0.0152572241,0.4197388142,0.0184088528,0.5144043763,0.0284172588,0.0037734449
137,0.0196714948,0.1494048741,0.0051103758,0.7981342077,0.0164923135,0.0111866944
138,0.1332646621,0.2811796845,0.0050524523,0.5667783618,0.0114887208,0.0022361044
139,0.0019044997,0.9829275608,0.0097693729,0.0035606663,0.0011200768,0.0007178052
140,0.0358553607,0.0203283085,0.0073713648,0.6097675248,0.0188119334,0.3078655282
141,0.0849565659,0.122384157,0.0057295564,0.7639540136,0.0200951563,0.0028805776
142,0.0351440487,0.8042504787,0.0145156267,0.1368341669,0.0074006153,0.0018550397
143,0.0074683373,0.0158986413,0.0010860536,0.9707922935,0.0041697565,0.0005848848
144,0.0456825681,0.7722760439,0.0073313056,0.1661789324,0.0064464791,0.0020846352
145,0.9505526423,0.0039949036,0.0011863252,0.0388689674,0.0048511098,0.0005460131
146,0.0180377848,0.0255736653,0.0029840856,0.5427117199,0.4040042758,0.0066884535
147,0.0538076445,0.3770697169,0.0152730355,0.5266138387,0.0252883729,0.0019473802
148,0.0173366473,0.1699510726,0.0036401149,0.769224743,0.0379777793,0.0018696398
149,0.487324522,0.5070663514,0.0014525928,0.002989892,0.0008075265,0.000359255
150,0.000997153,0.0010007023,0.0011863491,0.9949860573,0.0015614624,0.0002682834
151,0.501434722,0.2106066773,0.0037898736,0.0067013202,0.0043711886,0.2730961621
152,0.6319795772,0.0080498032,0.001546925,0.3506543291,0.0070458989,0.0007234825
153,0.0259671807,0.249756448,0.2201214805,0.4911175668,0.0084294507,0.0046078493
154,0.0128226284,0.048659941,0.0016466525,0.92666623,0.0093188172,0.0008858038
155,0.0027804182,0.0014176275,0.0006671631,0.9938238859,0.0009583001,0.0003525843
156,0.0345180854,0.1195335118,0.0032359726,0.8129078448,0.0282328855,0.0015716062
157,0.0595204467,0.2927130163,0.1096922318,0.5133915246,0.0216640863,0.0030186952
158,0.7127829492,0.008999527,0.0011146889,0.261432156,0.0145553072,0.0011153648
159,0.1213535008,0.2367418706,0.08860844,0.5460135142,0.0050485706,0.0022341573
160,0.2257193726,0.5092419516,0.0020319565,0.2333554212,0.0285723154,0.0010789229
161,0.0082692043,0.1254283879,0.5024741823,0.35912432,0.0030875666,0.0016163106
162,0.4984458906,0.0022959707,0.4694601654,0.0246169697,0.0038316293,0.0013493368
163,0.145844742,0.4944137546,0.0091646434,0.1016832019,0.2471633218,0.0017303654
164,0.0161562636,0.0916742533,0.0067440915,0.8795226216,0.0048131192,0.0010896453
165,0.5698515698,0.0679373994,0.0028387681,0.3498541685,0.0085121817,0.001005839
166,0.005934981,0.9190755486,0.0024545796,0.0676676428,0.003173861,0.0016934217
167,0.474549151,0.154101776,0.3226922771,0.0430161944,0.0026666303,0.0029739221
168,0.3336297123,0.0033197555,0.0007668518,0.3263775189,0.335400394,0.0005057223
169,0.0296499152,0.027192384,0.0045962883,0.9236995578,0.0136579368,0.0012038372
170,0.0148146767,0.372966609,0.0026777351,0.5932003781,0.014067472,0.002273138
171,0.0943895187,0.362110287,0.0111069947,0.1429328956,0.3869463541,0.0025139761
172,0.2001982301,0.2481658531,0.0066667286,0.539643089,0.0038907373,0.0014353312
173,0.0066284511,0.0093885966,0.0016326938,0.9007671475,0.0806780877,0.0009050341
174,0.0490637533,0.3167653548,0.0289796977,0.5767353922,0.0267617712,0.0016939873
175,0.2952318788,0.0615199779,0.0096318496,0.6217616647,0.0103179356,0.0015367578
176,0.3065651515,0.333008653,0.0029202652,0.355182138,0.0015771039,0.0007466677
177,0.0033437619,0.0134307528,0.0016699743,0.9793060422,0.0016787441,0.0005707977
178,0.0286991447,0.8747688532,0.0361875482,0.0555552132,0.003499392,0.0012898005
179,0.014970189,0.0092422143,0.0010699909,0.9704693556,0.0033954422,0.0008527251
180,0.0581779194,0.0432839919,0.0029936364,0.7804919481,0.0579841452,0.0570684113
181,0.2501997539,0.1743826905,0.0813814246,0.4886076353,0.0039039652,0.0015245722
182,0.0211279589,0.025503273,0.0023368267,0.9412698944,0.009077664,0.0006843215
183,0.0517553538,0.8606216908,0.0319834948,0.0511646532,0.0029156052,0.0015592688
184,0.5899071763,0.0067571187,0.3592323561,0.0407869191,0.0020243161,0.0012920832
185,0.0029589701,0.3245723226,0.002869569,0.6681473289,0.0010681245,0.0003836469
186,0.0082864426,0.0720832814,0.0027757026,0.9067485929,0.0084903354,0.0016156512
187,0.0582831893,0.1400944907,0.0133153845,0.7542465329,0.0316652386,0.0023952205
188,0.8521025777,0.0038067121,0.0014591273,0.138583228,0.0034391724,0.0006091842
189,0.0238108183,0.5196535997,0.0053391918,0.4460811578,0.0036317653,0.001483371
190,0.0913738813,0.6094683111,0.0091607415,0.2710044459,0.0159859266,0.0030066338
191,0.0661072198,0.0045170243,0.0009176177,0.858642896,0.0691575186,0.0006576988
192,0.0184839935,0.3596489877,0.0274645782,0.573850967,0.0185794504,0.0019721124
193,0.8912144601,0.0033476613,0.0043047558,0.0916459486,0.0085422823,0.0009448804
194,0.997769475,0.001134478,0.0002892369,0.0003088848,0.0003197933,0.0001780423
195,0.07783828,0.495211374,0.0032407183,0.1970398417,0.2252718784,0.001397934
196,0.0123734274,0.5005383901,0.0021793286,0.4802732784,0.003557038,0.0010785995
197,0.3840160864,0.1067279485,0.0019566653,0.0068853484,0.4997082544,0.0007057248
198,0.0125113237,0.006366838,0.0010639414,0.4149507382,0.5644766688,0.0006304648
199,0.0075001477,0.9600941241,0.0136033014,0.0160323412,0.0017766854,0.0009934068
200,0.0360738402,0.8136136532,0.0042373202,0.130270177,0.0131750141,0.0026299685
201,0.210833976,0.4189292789,0.0073803735,0.3515759334,0.0091046656,0.0021757355
202,0.0529239186,0.804778556,0.0047345415,0.1305195,0.0047739079,0.0022696175
203,0.0064411464,0.5724130794,0.0027791749,0.4071046319,0.0091880678,0.0020738637
204,0.0116389948,0.4893610962,0.013989599,0.478729479,0.0052159372,0.0010648824
205,0.0280193174,0.2841652036,0.0127194487,0.4725198373,0.1992572462,0.0033189323
206,0.0213804982,0.1946728987,0.0045299379,0.7703298529,0.0072067816,0.0018800485
207,0.3747130968,0.0269810613,0.0021039522,0.5783111155,0.0166344994,0.0012563035
208,0.0154767599,0.6564329565,0.0058825865,0.3101185698,0.0102873981,0.001801713
209,0.4917396505,0.5005685152,0.0021963344,0.0044352207,0.0006487039,0.0004115982
210,0.0392421512,0.1342035476,0.0088423772,0.8111275434,0.0048716334,0.0017127699
211,0.2953160554,0.0919242248,0.0043255975,0.5981979569,0.0086752214,0.0015609675
212,0.004767767,0.0038360511,0.0007183237,0.9885028799,0.0016738407,0.0005011406
213,0.03053273,0.5603589027,0.0020391924,0.4025286428,0.0034208269,0.0011196959
214,0.1238138992,0.0070947894,0.0026308584,0.8576157093,0.0082044236,0.0006403329
215,0.0048222367,0.0012901828,0.0006612998,0.9917924106,0.0011676645,0.0002662861
216,0.9972264568,0.0009488053,0.0001830127,0.0009238128,0.0005697884,0.0001481973
217,0.008331934,0.0928994378,0.0101679952,0.8706099093,0.0160827944,0.00190793
218,0.0152815217,0.9546125531,0.0022323665,0.0253538787,0.0018206575,0.0006989391
219,0.0182866954,0.239102398,0.347863522,0.3833562828,0.0097106905,0.0016803917
220,0.0082782651,0.7203228325,0.0588367466,0.2065670989,0.0028587905,0.0031362515
221,0.0103225595,0.1434507606,0.0022496277,0.7994802197,0.0114477947,0.0330491416
222,0.6522545218,0.0582348357,0.0049796692,0.2799915345,0.0034488579,0.0010906083
223,0.0144118312,0.1388022164,0.0023667229,0.8394958973,0.0040603657,0.0008629326
224,0.0036215036,0.476288196,0.006324648,0.5069970703,0.0048028582,0.0019657441
225,0.0098338295,0.9247155786,0.0482623316,0.0150157204,0.0014425934,0.0007299669
226,0.0006603656,0.0006247007,0.0004877232,0.9972346425,0.000696996,0.0002956222
227,0.3363021982,0.3582928466,0.0013740766,0.3003036984,0.0032115216,0.00051565
228,0.0012258667,0.0006875282,0.0001621048,0.0027858745,0.9947074652,0.0004311725
229,0.0046891045,0.4258146842,0.4803794499,0.0833647158,0.0034695265,0.0022824829
230,0.5053088083,0.2410792543,0.0047570719,0.2396149725,0.0077248815,0.0015149987
231,0.0628988538,0.1095967963,0.0041623857,0.8083811204,0.0135242166,0.001436581
232,0.8687234521,0.0318842394,0.0035817607,0.04868202,0.0463151059,0.0008134701
233,0.0022229891,0.0005692953,0.0003368205,0.9958297014,0.0008528099,0.0001883969
234,0.00811155,0.8095670044,0.0024089065,0.1765164457,0.0021477267,0.0012483316
235,0.00751886,0.0264068364,0.0011249718,0.9612814784,0.0031559119,0.0005119349
236,0.0407600601,0.5679267049,0.0058505726,0.3785049021,0.0056508679,0.0013069279
237,0.0744144651,0.0095234584,0.0014152089,0.9001185596,0.0138214333,0.0007069171
238,0.0038621912,0.2968423412,0.0023978946,0.6936378802,0.0025774638,0.0006821924
239,0.9111797214,0.0184085096,0.029112454,0.0383385239,0.001977359,0.0009834461
240,0.0362722002,0.0050047462,0.0007285483,0.952972432,0.0042707782,0.0007513284
241,0.3596724753,0.3017223341,0.0029900553,0.3317345792,0.0027392966,0.0011412865
242,0.1402619556,0.1618322852,0.0058320908,0.6335243285,0.0570151326,0.0015341899
243,0.4853417999,0.0327552701,0.0013330455,0.4745468246,0.0054235983,0.0005994973
244,0.4016042259,0.2585939968,0.0101094071,0.3120858051,0.0119184362,0.005688132
245,0.0197498582,0.0444533706,0.002425936,0.9274025261,0.005121796,0.0008465402
246,0.4868081808,0.4246966456,0.0036210617,0.0725311302,0.0065628299,0.0057801483
247,0.0662444994,0.5140929595,0.0335843042,0.377202933,0.0054071414,0.0034681982
248,0.0055651622,0.0040268813,0.0007377349,0.5796952695,0.409067404,0.0009075749
249,0.1480831932,0.360693939,0.0101656658,0.4017662406,0.0745761395,0.0047148415
250,0.0079449615,0.580888927,0.0033929925,0.3977755699,0.0085134718,0.0014841074
251,0.0167553283,0.0839251219,0.0093333027,0.8837156296,0.0034567653,0.0028138267
252,0.0099694904,0.1318388232,0.0043165594,0.4560615828,0.3668888683,0.030924682
253,0.0206127735,0.5825330913,0.0260695834,0.3634803295,0.0053538888,0.0019503064
254,0.0240680513,0.0363899881,0.3259468302,0.6060332948,0.0055699423,0.0019918071
255,0.0160349524,0.9230999351,0.0055794431,0.0491971932,0.0045080953,0.001580418
256,0.4795365632,0.2845883388,0.0030989467,0.1857740348,0.0445183324,0.0024837706
257,0.0051829261,0.4995368845,0.0013648535,0.4909363684,0.0022792055,0.0006998316
258,0.2371794581,0.0029196031,0.0010215808,0.75647223,0.0017439624,0.0006632149
259,0.0111354822,0.056890372,0.0024626458,0.923059245,0.0057089958,0.0007433099
260,0.2180832575,0.117894737,0.0034359724,0.6413069467,0.0162136672,0.0030654111
261,0.1592724354,0.4840979654,0.0145939824,0.3380420792,0.0027615916,0.0012320099
262,0.0071884163,0.0015089036,0.0006030978,0.9561588764,0.0340668146,0.0004739024
263,0.0268413491,0.1663673011,0.0037248482,0.7979125877,0.0042285487,0.0009253285
264,0.0055141593,0.5209116191,0.4574539894,0.0099873559,0.0040356138,0.0020973848
265,0.0174406206,0.0906346461,0.002052019,0.8829366267,0.0058525387,0.0010835596
266,0.2060666506,0.0160522452,0.0023994497,0.7701943318,0.0044408151,0.0008465019
267,0.4399554711,0.2212543711,0.0026361827,0.0416273489,0.2881984696,0.0063281592
268,0.0359700702,0.0177972098,0.0026220517,0.4918941446,0.2762812881,0.1754352017
269,0.1536485495,0.0668885494,0.0072720765,0.7686956127,0.0025993058,0.0008958987
270,0.0110313249,0.3991954358,0.0018345938,0.5793557481,0.0069309593,0.0016519923
271,0.4705827367,0.0439640055,0.0021680761,0.4743007757,0.0081707116,0.0008136392
272,0.5236709397,0.0037584283,0.0015096578,0.4699624712,0.0007299681,0.0003684539
273,0.0046508023,0.0066520387,0.4354089142,0.5471653057,0.0037727212,0.0023502312
274,0.0371362313,0.408349379,0.0097502554,0.5388060398,0.0049401298,0.0010179282
275,0.0160142658,0.0753981229,0.367575083,0.5156906769,0.0222152984,0.0031065716
276,0.0094334927,0.037829508,0.0026845815,0.9413593113,0.0078678473,0.0008252712
277,0.0128151458,0.317830141,0.0060756617,0.649254178,0.0123335097,0.0016914007
278,0.3150095823,0.0703058534,0.0037150959,0.3841100503,0.0494172834,0.1774421588
279,0.0266255951,0.7349128127,0.0090919717,0.215444088,0.0115918906,0.0023336172
280,0.000910694,0.0019410964,0.0002616748,0.0090492954,0.9868136644,0.0010235372
281,0.0236254842,0.0741765881,0.014878767,0.8759854436,0.0100730986,0.0012605912
282,0.8930301368,0.0578585325,0.0034947102,0.0378165261,0.0066294437,0.0011706494
283,0.0204631711,0.3728061318,0.0528493826,0.4342239648,0.0281558251,0.0915014991
284,0.0422246363,0.6420626342,0.0071229974,0.2950990945,0.0117250606,0.0017655636
285,0.0028797792,0.0017375394,0.0005450548,0.9930090606,0.0015690942,0.0002594826
286,0.9371528625,0.0020846049,0.0008267417,0.0291973744,0.0301360726,0.0006023446
287,0.0187503472,0.4297336815,0.0034606969,0.5434924513,0.0035289443,0.0010339349
288,0.0427012257,0.4020554125,0.0060664897,0.4428137839,0.1015376635,0.0048253505
289,0.3010135163,0.1484829937,0.0032825519,0.0584188497,0.3691750694,0.1196269944
290,0.004448466,0.0215184343,0.0038929986,0.5357005559,0.4327094132,0.0017301708
291,0.0002987128,0.9986189902,0.0003271573,0.0001630424,0.0001763887,0.0004156487
292,0.3351956921,0.0052060923,0.0009098613,0.6562152494,0.0020755562,0.0003975771
293,0.0087407788,0.0060506575,0.0011722869,0.5011920445,0.0566946503,0.4261496653
294,0.0061794963,0.0011445968,0.0006031211,0.9910482566,0.0006966685,0.0003278886
295,0.0068752096,0.0018497843,0.0004302316,0.3326496052,0.6576089198,0.0005862839
296,0.4922418701,0.0059021707,0.0011661044,0.4988423774,0.0015233907,0.0003239773
297,0.0027854778,0.0013222279,0.000597009,0.9935672283,0.0013729442,0.0003550035
298,0.0760094542,0.3468756137,0.0210515831,0.2210300315,0.3337455463,0.0012877499
299,0.2661106139,0.2124057369,0.0183827836,0.4684285323,0.0326086876,0.0020636027
300,0.0097940342,0.2612293477,0.0044737041,0.2161555242,0.4232744714,0.0850729084
301,0.0166644393,0.241296896,0.0030515167,0.7303676754,0.007285562,0.001333814
302,0.0185416039,0.0703684322,0.0035842842,0.3793200802,0.038556369,0.4896292593
303,0.1186625885,0.5155386049,0.0038615469,0.359542489,0.0013827396,0.0010119818
304,0.0541455026,0.0079546284,0.0010679417,0.3360226862,0.5994397178,0.0013695537
305,0.0456880542,0.0335477454,0.5431656133,0.2601671057,0.10688233,0.0105491748
306,0.9967415929,0.0003474558,0.0001372373,0.002027795,0.0005936422,0.0001523731
307,0.0192184125,0.4827585593,0.0050921747,0.4820989942,0.0093225917,0.0015092244
308,0.0007192998,0.000376203,0.0002227114,0.9975129366,0.0010047748,0.0001639913
309,0.9949320555,0.0012919033,0.0003554404,0.0028754398,0.0002809667,0.00026411
310,0.0124925943,0.2251286665,0.0031614038,0.7470943828,0.010579126,0.0015438313
311,0.5341596231,0.0135765997,0.0012220724,0.4462768406,0.0041481585,0.0006166377
312,0.0668224105,0.0290413306,0.6523241214,0.2498074363,0.0011023433,0.0009024321
313,0.0108756123,0.257097817,0.0028939403,0.394504346,0.2544305101,0.080197785
314,0.0321555641,0.0363872517,0.0187257342,0.8695067763,0.0414188765,0.0018058154
315,0.1066337999,0.0351180764,0.0050522965,0.8441269517,0.0080869079,0.0009820001
316,0.680674836,0.0401978567,0.0031999492,0.2687291615,0.0062192075,0.0009789576
317,0.001696895,0.001386157,0.0005874146,0.9684122801,0.0275921227,0.0003251974
318,0.0588254826,0.1142947956,0.0047983766,0.303262685,0.5164430328,0.0023756451
319,0.9892207384,0.0039405221,0.0005941434,0.0048553472,0.0010802351,0.0003089802
320,0.0190930516,0.0024296425,0.0010558562,0.9727296233,0.0043743765,0.0003174857
321,0.0119836107,0.9739044309,0.0029458671,0.0091991918,0.0014632876,0.000503621
